code,section,name,category
000,Intro / FWC,Panini Logo,base
FWC1,Intro / FWC,Official Emblem,base
FWC2,Intro / FWC,Official Emblem,base
FWC3,Intro / FWC,Official Mascots,base
FWC4,Intro / FWC,Official Slogan,base
FWC5,Intro / FWC,Official Ball,base
FWC6,Intro / FWC,Canada - Host Countries & Cities,base
FWC7,Intro / FWC,Mexico - Host Countries & Cities,base
FWC8,Intro / FWC,USA - Host Countries & Cities,base
FWC9,FIFA World Cup History,Italy 1934 - FIFA Museum,base
FWC10,FIFA World Cup History,Uruguay 1950 - FIFA Museum,base
FWC11,FIFA World Cup History,West Germany 1954 - FIFA Museum,base
FWC12,FIFA World Cup History,Brazil 1962 - FIFA Museum,base
FWC13,FIFA World Cup History,West Germany 1974 - FIFA Museum,base
FWC14,FIFA World Cup History,Argentina 1986 - FIFA Museum,base
FWC15,FIFA World Cup History,Brazil 1994 - FIFA Museum,base
FWC16,FIFA World Cup History,Brazil 2002 - FIFA Museum,base
FWC17,FIFA World Cup History,Italy 2006 - FIFA Museum,base
FWC18,FIFA World Cup History,Germany 2014 - FIFA Museum,base
FWC19,FIFA World Cup History,Argentina 2022 - FIFA Museum,base
MEX1,Mexico,Team Logo - Mexico,base
MEX2,Mexico,Mexico sticker 2,base
MEX3,Mexico,Mexico sticker 3,base
MEX4,Mexico,Mexico sticker 4,base
MEX5,Mexico,Mexico sticker 5,base
MEX6,Mexico,Mexico sticker 6,base
MEX7,Mexico,Mexico sticker 7,base
MEX8,Mexico,Mexico sticker 8,base
MEX9,Mexico,Mexico sticker 9,base
MEX10,Mexico,Mexico sticker 10,base
MEX11,Mexico,Mexico sticker 11,base
MEX12,Mexico,Mexico sticker 12,base
MEX13,Mexico,Team Photo - Mexico,base
MEX14,Mexico,Mexico sticker 14,base
MEX15,Mexico,Mexico sticker 15,base
MEX16,Mexico,Mexico sticker 16,base
MEX17,Mexico,Mexico sticker 17,base
MEX18,Mexico,Mexico sticker 18,base
MEX19,Mexico,Mexico sticker 19,base
MEX20,Mexico,Mexico sticker 20,base
RSA1,South Africa,Team Logo - South Africa,base
RSA2,South Africa,South Africa sticker 2,base
RSA3,South Africa,South Africa sticker 3,base
RSA4,South Africa,South Africa sticker 4,base
RSA5,South Africa,South Africa sticker 5,base
RSA6,South Africa,South Africa sticker 6,base
RSA7,South Africa,South Africa sticker 7,base
RSA8,South Africa,South Africa sticker 8,base
RSA9,South Africa,South Africa sticker 9,base
RSA10,South Africa,South Africa sticker 10,base
RSA11,South Africa,South Africa sticker 11,base
RSA12,South Africa,South Africa sticker 12,base
RSA13,South Africa,Team Photo - South Africa,base
RSA14,South Africa,South Africa sticker 14,base
RSA15,South Africa,South Africa sticker 15,base
RSA16,South Africa,South Africa sticker 16,base
RSA17,South Africa,South Africa sticker 17,base
RSA18,South Africa,South Africa sticker 18,base
RSA19,South Africa,South Africa sticker 19,base
RSA20,South Africa,South Africa sticker 20,base
KOR1,South Korea,Team Logo - South Korea,base
KOR2,South Korea,South Korea sticker 2,base
KOR3,South Korea,South Korea sticker 3,base
KOR4,South Korea,South Korea sticker 4,base
KOR5,South Korea,South Korea sticker 5,base
KOR6,South Korea,South Korea sticker 6,base
KOR7,South Korea,South Korea sticker 7,base
KOR8,South Korea,South Korea sticker 8,base
KOR9,South Korea,South Korea sticker 9,base
KOR10,South Korea,South Korea sticker 10,base
KOR11,South Korea,South Korea sticker 11,base
KOR12,South Korea,South Korea sticker 12,base
KOR13,South Korea,Team Photo - South Korea,base
KOR14,South Korea,South Korea sticker 14,base
KOR15,South Korea,South Korea sticker 15,base
KOR16,South Korea,South Korea sticker 16,base
KOR17,South Korea,South Korea sticker 17,base
KOR18,South Korea,South Korea sticker 18,base
KOR19,South Korea,South Korea sticker 19,base
KOR20,South Korea,South Korea sticker 20,base
CZE1,Czechia,Team Logo - Czechia,base
CZE2,Czechia,Czechia sticker 2,base
CZE3,Czechia,Czechia sticker 3,base
CZE4,Czechia,Czechia sticker 4,base
CZE5,Czechia,Czechia sticker 5,base
CZE6,Czechia,Czechia sticker 6,base
CZE7,Czechia,Czechia sticker 7,base
CZE8,Czechia,Czechia sticker 8,base
CZE9,Czechia,Czechia sticker 9,base
CZE10,Czechia,Czechia sticker 10,base
CZE11,Czechia,Czechia sticker 11,base
CZE12,Czechia,Czechia sticker 12,base
CZE13,Czechia,Team Photo - Czechia,base
CZE14,Czechia,Czechia sticker 14,base
CZE15,Czechia,Czechia sticker 15,base
CZE16,Czechia,Czechia sticker 16,base
CZE17,Czechia,Czechia sticker 17,base
CZE18,Czechia,Czechia sticker 18,base
CZE19,Czechia,Czechia sticker 19,base
CZE20,Czechia,Czechia sticker 20,base
CAN1,Canada,Team Logo - Canada,base
CAN2,Canada,Canada sticker 2,base
CAN3,Canada,Canada sticker 3,base
CAN4,Canada,Canada sticker 4,base
CAN5,Canada,Canada sticker 5,base
CAN6,Canada,Canada sticker 6,base
CAN7,Canada,Canada sticker 7,base
CAN8,Canada,Canada sticker 8,base
CAN9,Canada,Canada sticker 9,base
CAN10,Canada,Canada sticker 10,base
CAN11,Canada,Canada sticker 11,base
CAN12,Canada,Canada sticker 12,base
CAN13,Canada,Team Photo - Canada,base
CAN14,Canada,Canada sticker 14,base
CAN15,Canada,Canada sticker 15,base
CAN16,Canada,Canada sticker 16,base
CAN17,Canada,Canada sticker 17,base
CAN18,Canada,Canada sticker 18,base
CAN19,Canada,Canada sticker 19,base
CAN20,Canada,Canada sticker 20,base
BIH1,Bosnia and Herzegovina,Team Logo - Bosnia and Herzegovina,base
BIH2,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 2,base
BIH3,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 3,base
BIH4,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 4,base
BIH5,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 5,base
BIH6,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 6,base
BIH7,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 7,base
BIH8,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 8,base
BIH9,Bosnia and Herzegovina,Bosnia and Herzegovina sticker 9,base
